# Toolbag 5 Chinese dictionary
# Format: English;Chinese
Check for Updates;检查更新
Add a layer carve group.;添加一层雕刻组 。
Delete the selected item(s).;删除选中的项目 。
Add mask to selected layer.;将遮罩添加到选中的层 。
Add a new sync point layer. Sync points synchronize input curvature, height, and ambient occlusion maps with layers below.;添加新的同步点层 。 同步点同步输入曲率,高度,以及下层的环境包围图.
Regenerate any out-of-date sync point maps.;重新生成任何过时的同步点地图.
Open the sync point settings window.;打开同步点设置窗口 。
Clears the activity log.;清除活动日志。
Displays only errors in the activity log.;只显示活动日志中的错误。
Width and Height of the texture project output.;纹理项目输出的宽度和高度.
Adjust the pixel size of the texture project.  Paint layers will be resized to the new resolution.;调整纹理工程的像素大小 。 油漆层将调整为新分辨率。
Enables extension of pixel values beyond the UV borders, which reduces artifacts near UV seams.;允许像素值扩展至紫外线边界以外,这减少了紫外线接缝附近的文物.
Sets the size of the UV padding effect in pixels.;设定像素中的紫外线粘贴效果大小。
Link the currently selected material in the material editor to this texture project.;将材料编辑器中目前选中的材料链接到此纹理工程.
Create a new material and link it to this texture project.;创建新材料并将其链接到这个纹理工程中.
Remove this linked material from the texture project.;从纹理工程中删除此链接的材料 。
Click to load or replace a texture map for this texture project;单击以加载或替换此纹理工程的纹理映射
Remove this input map from the texture project, any layer types that require this input may no longer render correctly.;从纹理工程中移除此输入图,任何需要此输入的层类型都可能不再正确渲染.
Add an additional input map.;添加额外的输入映射 。
Project map settings.;工程地图设置 。
Remove this project map.;删除此工程映射 。
Add an additional project map.;添加额外的项目映射 。
Save all textures to disk.;将所有纹理保存到磁盘中 。
The location on disk where the images will be saved.;将图像保存在磁盘上的位置 。
Set the word(s) that will be appended to the end of the file.;设定要附加到文件末尾的单词 。
Save only this image to disk.;只保存此图像到磁盘 。
Remove this output map.;删除此输出图 。
Add an additional output map.;添加额外的输出映射 。
Selects which style texture output is used. Types with + in the name allow packing of different Project Maps in the various channels.;选择使用的样式纹理输出。 名称为+的类型允许在各种通道中包装不同的项目地图。
Selects the file type for the exported image.;为导出图像选择文件类型。
Selects which Project Map to pack into this slot.;选择要装入此槽的工程映射 。
Sets the bit-depth of this output map.;设置此输出图的位深 。
Sets the size multiplier for texture export.;设置纹理导出的大小乘数。
Set the resolution of the tile.;设置瓦片的解析度 。
Link the width and height of the tile to global resolution.;将瓦片的宽度和高度链接到全局分辨率.
Determines whether the bump map is combined with the normal map for additional height map detail.;确定凸起图是否与普通地图相结合,以获取额外的高度图细节。
Sets the strength of the bump mapping effect.;设定凸起映射效果的强度。
Determines whether the displacement map is sent to the displacement or parallax input in the material system.;确定迁移图是发送到迁移的还是材料系统中的参数输入.
Determines whether the thickness input map is used as the base content for the scatter project map.;确定厚度输入图是否用作散射项目图的基础内容。
Generate and save the final image to disk.;生成并保存最终图像到磁盘中 。
Open the folder where the image is saved.;打开保存图像的文件夹 。
Generate and save the final video to disk.;生成并保存最后的视频到磁盘中.
Open the folder where the video is saved.;打开保存视频的文件夹 。
Remove this render camera.;移除此渲染相机 。
Create a new camera in the scene and add it to this list.;在现场创建新相机并添加到此列表中.
Adjust the extra parameters for this render pass.;调整此渲染通过的额外参数 。
Add an additional render pass.;额外增加一个渲染通道。
Open the last render saved to disk.;打开保存到磁盘的最后一个渲染 。
Preview  the last render saved to disk.;预览保存到磁盘的最后一个渲染 。
Remove this render pass.;移除此渲染通道 。
Browse for the export directory.;浏览导出目录 。
Split this viewport horizontally or vertically.;横向或纵向分割此视图 。
Pop this viewport out into a floating window.;把这个风景点打开,放进浮动窗口
Maximize this viewport.;最大化此视港.
When green, indicates this viewport is active.;当绿色时,请显示此视图端口活动 。
Sample a given color or material data on the screen.;在屏幕上取样一个特定的颜色或材料数据。
Reset the reference material to its original state.;将参考材料重置为原状态.
Reload the reference material from disk.;从磁盘中重新装入参考材料 。
Remove the reference material.;删除参考材料。
Create a copy of this material in the material editor.;在材料编辑器中创建此材料的副本.
Import a material from disk.;从磁盘中导入材料 。
Material mode receives texture content from the reference material.;材料模式接收参考材料中的纹理内容.
Texture mode allows you to load a custom texture map.;纹理模式允许您加载自定义纹理图.
Load or replace this texture map.;装入或替换此纹理图 。
Reset this map's color to its original state.;将本地图的颜色重置为原状态.
Inverts the values of this map.;反转此地图的值。
Edit the color of this map type.;编辑此地图类型的颜色 。
Sets the value for this map type.;设置此映射类型的值。
Adjust the contrast for this map type.;调整此映射类型的对比度 。
Interprets this normal map as either right- (Y+) or left-handed (Y-) coordinate space.;将此普通地图解释为右-(Y+)或左-(Y-)坐标空间.
Create a new texture project.;创建新纹理工程 。
Toggle this layer's visibility.;切换此层的可见度 。
Expand or collapse this layer's children.;扩张或崩溃这个层的孩子。
Set the opacity for the selected layer.;设置选定层的不透明度 。
Toggle opacity linking, which synchronizes the opacity setting for all map types. Turn off to adjust the opacity of only the selected map type.;切换不透明链接, 它会同步所有地图类型的不透明设置 。 关闭仅调整所选地图类型的不透明度 。
Select which project maps this layer modifies.;选择此图层修改的工程图 。
Set the texture width.;设置纹理宽度 。
Set the texture height.;设置纹理高度.
Lock or unlock the texture's aspect ratio.;锁定或解锁纹理的宽度比.
Set the sensitivity of the wand tool.;设定魔杖工具的敏感性 。
Determines whether the selection area is limited to connected meshes.;确定选择区域是否仅限于连接网格。
Sets whether the wand tool uses the 3D viewport or 2D canvas area to create the selection;设定魔杖工具是使用3D视图端口还是2D画布区域创建选择
Determines whether the texture values are sampled from all layers or the current layer when creating the wand selection;确定在创建魔杖选择时是否从所有层或当前层对纹理值进行采样
Determines whether objects will occlude the resulting selection.;确定对象是否会绕过所选区域。
Determines whether the edges of the selection will be filtered to reduce jaggedness.;确定选择的边缘是否将被过滤以减小夹痕。
Sets how soft or blurry the edges of the selection will be.;设定选择的边缘将有多柔软或模糊 。
Fades out non-selected areas.;飞出非选区.
If checked, a single click will select an entire mesh instead of an isolated chunk.  Double-click always selects an entire mesh.;如果选中的话, 点击会选择整个网格而不是孤立块 。 双击总是选择整个网格 。
Enable dynamics like pressure sensitivity, tilt, or fade over stroke for this setting.;启用动态, 如压力敏感度、 倾斜度、 或此设置的偏移度 。
Load or replace the brush tip texture.;装入或替换刷尖纹理.
Determines whether the brush tip texture follows the direction of the brush stroke.;确定刷子尖端纹理是否遵循刷子中风的方向。
Determines whether flow is regulated by spacing, which can provide more consistent opacity buildup when enabled.;确定流量是否由间距调节,这样在启用时可以提供更一致的不透明累积.
Sets the mask value, with 0 or black defining transparent areas and 1 or white defining opaque areas.;设置遮罩值, 0 或黑色定义透明区域, 1 或白色定义不透明区域。
Set how much random variation is applied to this value.;设定该值的随机变化量 。
Sets how the brush is projected relative to the surface of the mesh.;设定刷子相对于网格表面的投影方式 。
Sets the unit system that determines how large the brush is in relation to the mesh.;设置决定刷子相对于网格有多大的单位系统。
Sets whether the brush-stroke will be restricted to the mesh object the brush first comes in contact with.;设定刷图是否将限制在刷图首先接触的网格对象上 。
Determines whether the brush texture will be stretched to wrap around the mesh geometry.;确定刷子的纹理是否会被拉伸到网格几何周围。
Determines whether meshes will prevent the brush-stroke from painting on through and other meshes.;确定 meshes 是否会阻止刷子冲刺 画穿和其他 meshes。
Sets how hard or soft the brush edges are.;设定刷边的硬度或软度 。
Sets how tight the brush shape is.;设定刷子形状有多紧.
Sets the rotation of the brush.;设置刷子的旋转。
Sets the random positional offset of the brush.;设置刷的随机位置偏移。
Sets how transparent or opaque the brush is.;设定刷子的透明度或不透明度 。
Sets the distance between each brush splot.;设定每个刷图之间的距离。
Sets the buildup speed of the brush opacity.;设置刷子不透明的积分速度。
Sets how large the brush is.;设定刷子有多大 。
Sets how narrow the brush is.;设定刷子有多窄 。
Sets the degree of procedural brush shape distortion.;设置程序刷形扭曲的程度。
Adjusts contrast of the brush tip texture.;调整刷尖纹理的对比度。
Sets the input smoothing distance. Larger values will result in smoother brush strokes with a longer delay.;设置输入平滑距离。 较大的数值会导致更平滑的刷子中风,而更长时间的延迟.
Reset the initial source position at the end of the stroke.;重置中风末端初始源位.
Save the current brush to the asset library.;保存当前刷到资产库 。
Save the current brush to disk.;保存当前刷入磁盘 。
Import a brush (.tbtool file) from disk.;从磁盘导入刷子(. tbtool 文件) 。
Enable symmetry of paint strokes along a given axis.;启用沿指定轴线对称的涂料划线 。
Enable symmetry of gradients along a given axis.;允许沿给定轴对齐梯度。
Enable symmetry of vector shapes along a given axis.;启用向量形状沿给定轴对称 。
Choose the axis or plane of symmetry.;选择对称的轴或平面 。
Choose between mirror mode, which flips the brush stroke to the other side, or radial mode, which instances the stroke in a circular array.;在镜像模式中选择将刷线向另一侧翻转,或者在圆形阵列中选择射线模式。
Choose between mirror mode, which flips the gradient to the other side, or radial mode, which instances the gradient in a circular array.;在镜像模式中选择将梯度翻转到另一侧,或者在圆形阵列中显示梯度。
Choose between mirror mode, which flips each shape to the other side, or radial mode, which instances the shape in a circular array.;在镜像模式中选择,将每个形状翻转到另一侧,或者光圈模式,在圆形阵列中显示形状。
Sets the number of instances for radial symmetry.;设置射线对称的例数。
Position of the axis of symmetry.;对称轴的位置。
Rotation of the axis of symmetry.;对称轴的旋转.
Quickly align the axis of symmetry with an object or geometry feature.;快速将对称轴与对象或几何特征对齐.
Adjust the axis of symmetry inside the viewport.;调整视野内的对称轴。
Reset the position and direction of the axis of symmetry.;重置对称轴的位置和方向.
Choose the alignment mode. Object snaps the axis to the center of a mesh. Geometry allows you to select a face, edge, or vertex.;选择对齐模式 。 对象将轴向网格中心坐标。 几何可以选择面部,边缘或顶点.
Invert the stencil coverage area.;颠倒斯滕西尔覆盖区.
Fade the edges of the stencil.;淡出 s边.
Opacity of the viewport stencil overlay.;景点层层覆盖不透明.
When checked, the stencil will repeat to fill the viewport.;检查时, 刻度会重复以填充视图端口 。
When checked, the stencil overlay will disappear while painting.;检查时, 刻度覆盖在绘画时会消失 。
Adjust the amount of blur applied to the stencil.;调整应用到表单的模糊度。
Adjust the tiling frequency of the stencil.;调整刻度的刻度频率。
Adjust the position of the stencil inside the viewport.;调整景点内天线的位置。
Rotate the stencil.;旋转天线
Reset the stencil to its default position.;将速率重置为默认位置 。
Adjust the stencil's contrast.;调整天线的对比度 。
Sets the size or intensity of the blur effect.;设置模糊效果的大小或强度。
Blur across UV seams.;模糊的紫外线缝合。
Sets the color matching sensitivity.;设置匹配颜色的敏感性。
Choose the color to sample from.;选择要采样的颜色 。
Remove this color selection entry.;删除此颜色选择项 。
Edit the color for this entry.;编辑本条目的颜色。
Add an additional color selection entry.;添加额外的颜色选择项 。
Sets the strength of the cellular procedural.;设定细胞程序的强度。
Inverts the cellular procedural.;倒置细胞程序。
Sets the detail size of the cellular procedural.;设定细胞程序的细节大小。
Sets the randomness for the cellular procedural.;设定蜂窝程序的随机性。
Sets how angular or soft the cellular procedural is.;设定细胞程序的角质或软性。
Sets the smoothing curve offset, gradually inverting the result as phase reaches 1.;设置平滑曲线抵消,随着相位达到1,结果逐渐反转.
Sets how distorted the cellular procedural is.;设定细胞程序是如何扭曲的。
Sets the detail scale of the warp effect.;设置曲速效应的详细尺度。
Resets the original settings for this effect.;重置此效果的原始设置 。
Sets the color for the primary checker squares.;设置主检查器方块的颜色。
Sets the color for the secondary checker squares.;设置二次检查方块的颜色。
Sets the contrast for the checkered procedural.;设置检查程序对比值。
Inverts the checkered procedural.;倒置检查程序。
Sets the number of tiles.;设置牌数。
Sets how distorted the checkered procedural is.;设定检查程序如何扭曲 。
Resets the original settings for this layer.;重置此层的原始设置 。
Sets the strength of the clouds procedural.;设置云程序强度。
Inverts the clouds procedural.;颠倒云程序.
Sets the detail size of the clouds procedural.;设置云程序的细节大小。
Sets how grainy the clouds procedural is.;设定云层程序如何细腻。
Sets how distorted the clouds procedural is.;设定云程序如何扭曲 。
Sets the strength of the curvature processor.;设置曲率处理器的强度。
Inverts the curvature processor.;反转曲率处理器。
Sets the contrast of the curvature processor.;设置曲率处理器的对比度。
Sets the middle point of the contrast effect.;设置对比效果的中点。
Sets how sharp or blurry the details are.;设定细节的锐度或模糊度 。
Sets the strength of the edges or convex regions.;设置边缘或对流区域的强度。
Sets the width of the convex regions.;设置对流区域的宽度。
Sets the strength of the cavities or concave regions.;确定洞穴或洞穴区域的强度。
Sets the width of the concave regions.;设置集合区域的宽度。
Resets the selected channel.;重新设置选定频道 。
Resets all channels.;恢复所有频道
Sets which axis to process.;设定要处理的轴 。
Sets the strength of the direction processor.;设置方向处理器的强度。
Inverts the direction processor.;反转方向处理器。
Sets the contrast of the direction processor.;设置方向处理器的对比度。
Sets the strength of the dirt processor.;设置泥土处理器的强度。
Inverts the dirt processor.;倒置脏腑处理器.
Sets the global contrast of the dirt processor.;设置泥土处理器的全球对比度。
Click to load or replace a texture map for the grunge effect.;点击可加载或替换grunge效果的纹理映射 。
Enable tri-planar mode for seamless texture projection.;为无缝纹理投影启用三平板模式.
Sets how the grunge map is blended in relation to the other components of the dirt processor.;设置 grunge 映射相对于泥土处理器其他组件的混合方式 。
Sets the strength for the grunge texture.;设置 grunge 纹理的强度 。
Inverts the grunge texture.;颠倒甘露纹理.
Sets the contrast of the grunge texture.;设置 grunge 纹理的对比度。
Sets the tiling for the grunge texture.;设置 grunge 纹理的衬垫 。
Sets the rotation for the grunge texture.;设置 grunge 纹理的旋转 。
Sets the strength of the direction effect, which isolates regions facing up and down.;设定方向效应的强度,将面临上下的区域隔离.
Inverts the direction effect.;反转方向效应.
Sets the contrast of the direction effect.;设置方向效果的对比。
Sets the strength of the crevices or concave areas, which is useful for defining where dirt or grime should appear on the micro scale.;设定断层或凸层区域的强度,这对于确定泥土或灰尘应在微观尺度上出现之处有用。
Sets the contrast of the crevice effect.;设置剪切效果的对比度。
Sets the strength of the occluded areas, which is useful for defining where dirt or grime should appear on the macro scale.;确定占地面积的强度,这有助于确定在宏观尺度上应在哪里出现泥土或灰尘。
Sets the contrast of the occluded areas.;设置占卜区域对比度。
Evenly spaces all gradient points.;均匀空格所有渐变点 。
Resets the original layer settings.;重置原层设置 。
Deletes the selected color from the gradient.;从梯度中删除选定的颜色。
Deletes the selected grayscale value from the alpha gradient.;从α梯度中删除选定的灰度值。
Sets the strength of the gradient procedural.;设置梯度程序强度。
Inverts the gradient procedural.;倒转梯度程序。
Sets the tiling for the gradient.;设置梯度的跳动。
Sets the strength of the height processor.;设置高度处理器的强度。
Inverts the height processor.;反转高度处理器。
Sets the contrast of the height processor.;设置高度处理器的对比度。
Shifts the hue around the color wheel.;绕着彩色轮子转
Sets how vivid or saturated the colors are.;设定颜色如何生动或饱和.
Sets the brightness.;设诸光明.
Sets the contrast.;设置对比。
Resets the original settings for this channel.;重置此频道的原始设置 。
Resets the original settings for all channels in this layer.;重置此层中所有频道的原始设置 。
Choose the recolorization mode.;选择重彩化模式 。
Determines the amount of target colors;确定目标颜色的数量
Detect how many target colors are necessary.;检测需要多少目标颜色。
Reset all of the target colors to their original values.;将所有目标颜色重置为原值 。
Reset the original settings for this layer.;重置此层的原始设置 。
Toggles the visibility of recolorization for the current target color.;切换当前目标颜色的重彩化可见度。
Sets the color target.;设置颜色目标。
Sets the custom color, which determines the area that will be recolored.;设置自定义颜色,以决定将重新显示的区域。
Reset this color to its original state.;将此颜色重置为原状态 。
Invert the value of the target color.;倒转目标颜色的值 。
Sets the strength of the recolorization effect.;设置重彩化效果的强度。
Add a custom color.;添加自定义颜色 。
Remove this custom color.;删除此自定义颜色 。
Move this color up or down.;上下移动此颜色.
The source colors are not up-to-date, you must update them.;源色不更新,必须更新.
The source colors are up-to-date.;源色为上.
Source color (automatically generated).;源色( 自动生成) 。
You must update your source colors.;您必须更新您的源颜色 。
Adjusts brightness value of the black region.;调整黑色区域的亮度值。
Adjusts the gamma curve.;调整伽马曲线。
Adjusts the brightness value of the white region.;调整白色区域的亮度值。
Remaps or clamps the black region to a specified value.;重映射或将黑色区域夹到指定值 。
Remaps or clamps the white region to a specified value..;将白色区域重映射或夹到指定值...
Sets the active color channel shown in the editor.;设置编辑器中显示的活动颜色通道。
Resets the original settings for all channels.;重新设置所有频道的原始设置 。
Sets the strength of the occlusion processor.;设置隔离处理器的强度。
Inverts the occlusion processor.;倒置隔离处理器.
Sets the contrast for the occlusion processor.;设置隔离处理器的对比度。
Sets the strength of the Perlin noise procedural.;设置 Perlin 噪声程序强度 。
Inverts the Perlin procedural;倒转 Perlin 程序
Sets the detail size of the Perlin procedural.;设定 Perlin 程序的细节大小。
Sets the intensity of the large details.;设置大细节的强度。
Sets the intensity of the fine details.;设置细细节的强度。
Sets the amount of distortion for the large details.;设定大细节的扭曲量。
Sets the detail level for the large distortions.;设置大扭曲的细节级别。
Sets the amount of distortion for the fine details.;设定细节的扭曲量。
Sets the detail level for the fine distortions.;设置精细扭曲的细节级别。
Determines whether to create a soft (smooth) or pixelated (hard) effect.;确定要创建软(smooth)还是像素(硬)效应。
Sets how many times the effect will be generated and overlaid. More passes will mean finer details but lower performance.;设定将产生和覆盖效果的倍数 。 更多的通行证意味着细节更细,但性能更低.
Sets the strength of the scratch processor.;设置抓取处理器的强度。
Inverts scratch dirt processor.;颠倒刮土处理器.
Sets the global contrast of the scratch processor.;设置抓取处理器的全球对比度。
Sets how the grunge map is blended in relation to the other components of the scratch processor.;设定 grunge 映射相对于抓取处理器其他组件的混合方式 。
Click to load or replace a texture map for the scratch effect.;单击以加载或替换抓取效果的纹理映射 。
Sets how the scratch map is blended in relation to the other components of the scratch processor.;设定抓取图相对于抓取处理器其他组件的混合方式 。
Sets the strength for the scratch texture.;设置抓痕纹理的强度。
Inverts the scratch texture.;颠倒刮痕纹理.
Sets the contrast of the scratch texture.;设置抓取纹理的对比度。
Sets the tiling for the scratch texture.;为刮痕纹理设置平板。
Sets the rotation for the scratch texture.;设置抓取纹理的旋转。
Sets the contrast of the convex regions.;设置对流区域的对比。
Adjusts the visual contrast of the generated curvature map.;调整生成的曲率图的视觉对比。
Adjusts the size of the curvature filter. Larger scales produce broader, softer gradients.;调整曲率过滤器的大小。 较大的鳞片产生较宽,较软的梯度.
Adjusts the visual contrast of the generated height map.;调整生成的高度图的视觉对比。
Higher quality ambient occlusion will exhibit less banding and noise, but takes more time to compute.;质量较高的环境隔离将显示较少的带状和噪音,但计算需要更多的时间。
Adjusts the visual contrast of the generated ambient occlusion map.;调整生成的环境闭塞图的视觉对比。
Adjusts the effective height of normal map detail used to compute occlusion. Higher scales provide more pronounced occlusion.;调整用于计算封存的普通地图细节的有效高度。 较高的尺度提供了更明显的隔离。
Resets sync point settings to their default values.;将同步点设置重置为默认值 。
Sets the strength of the thickness processor.;设置厚度处理器的强度。
Inverts the thickness processor.;反转厚度处理器。
Sets the contrast of the thickness processor;设置厚度处理器的对比度
Sets the color for the primary tile region.;设置主瓦片区域的颜色。
Sets the color of the areas between tiles.;设置牌之间的区域颜色。
Sets the color of the shadowed area immediately beyond the tiles.;设置紧邻瓷砖的阴影区域颜色。
Sets the strength of the tiles procedural.;设置瓷砖的程序强度。
Inverts the tiles procedural.;倒置瓷砖的程序。
Sets the number of tiles in relation to the canvas.;设定与画布相关的牌数。
Sets how wide each tile will be.;设定每个瓦片的宽度 。
Sets how tall each tile will be.;设定每块瓷砖的高度。
Sets how far every consecutive row will be moved.;设定每个连续行将移动多远 。
Sets how deep the primary areas in relation to the grout and shadow regions.;确定与地沟和阴影区域相关的主要地区有多深。
Sets how much each tile will be randomly pushed in or out.;设定每个瓦片会随机推入或推出多少 。
Sets the size of the beveled area along the edges of each tile.;设置每块瓦片边缘的被子区域大小。
Sets how deep the beveled area is in 3D space.;设定三维空间中的贝区有多深 。
Sets how smooth or round the beveled areas is.;设定振铃区域是否平滑或圆圆 。
Sets how beveled or rounded the corners of each tile is.;设定每块砖的圆角是怎样的 。
Sets how much each tile will be randomly rotated in 3D space.;设定每块瓷片在 3D 空间中随机旋转多少 。
Sets the size of the area between tiles, which controls the size of the tiles as well.;设置牌之间的区域大小,它也控制牌的大小。
Sets a secondary, relative width value for the space between tiles.;设置牌间空格的二级相对宽度值。
Sets a secondary, relative height value for the space between tiles.;为瓦片之间的空格设置次要的相对高度值。
Sets how deep the area between the tiles is in 3D space.;设定三维空间中瓷砖之间的区域有多深 。
Sets how deep the area immediately outside the tile regions is in 3D space.;设定紧邻瓷砖区域的区域在3D空间的深度 。
Sets the size of the area immediately outside the tile regions.;设定紧邻瓦片区域的区域大小。
Sets the strength of the turbulence procedural.;设定动荡过程的强度 。
Inverts the turbulence procedural;颠倒动荡
Sets the detail size of the turbulence procedural.;设置扰动程序的详细大小。
Sets how rippled the primary waves are.;设定了主波波的波折程度.
Sets the detail level of the primary ripples.;设置初级波纹的详细级别。
Sets the contrast for the large details.;设置大细节的对比。
Sets the contrast for the fine details.;设置细细细节的对比。
Sets how much the large details are distorted.;设定大细节被扭曲的程度 。
Sets how much variation is generated for the large distortions.;设定大型扭曲产生多少变化 。
Sets how much variation is generated for the fine distortions.;设定细曲折产生多少变化 。
Determines the coordinate space vector shapes are drawn and projected from.;确定坐标空间矢量形状的绘制和投影。
List of all vector shapes in this layer.;列出此图层中的所有矢量形状 。
Define a displacement contour (profile) to extrude along vector shape edges.;定义沿矢量形状边缘挤压的移位轮廓( profile) 。
List of profile presets.;简介预设列表.
Open profile editor to create a custom displacement contour.;打开配置编辑器以创建自定义的位移轮廓 。
Remove selected profile from the presets list.;从预设列表中删除选中的配置 。
Save current profile as a preset.;另存当前配置文件为预设 。
Sets the height scale of the profile in bump and displacement maps.;在凸起图和移位图中设定剖面的高度尺度。
Controls tiling of shape-projected materials and alpha masks along the shape edges.;沿形状边缘对形状投影材料和α面罩进行控制。
Sets the width of the profile along shape edges.;沿形状边缘设置剖面的宽度。
Adds random variation to the profile width.;在配置宽度中添加随机变量。
Sets the frequency of random variation in the profile width.;设置配置宽度随机变化的频率。
Adds random side-to-side wiggle to shape edges.;向形状边缘添加随机侧向扭矩。
Sets the frequency of side-to-side wiggle on shape edges.;设定形状边缘侧向波动的频率。
Controls narrowing of contour width at the start and end of shape edges.;在形状边缘的起始和结尾缩小轮廓宽度的控制。
Controls rounded caps on the start and end of shape edges.;控制在形状边缘的起始和末端为圆形盖.
Sets the strength of the voronoi procedural.;设定 voronoi 程序的力量 。
Inverts the voronoi procedural.;倒置voronoi程序。
Sets the detail size of the voronoi procedural.;设定 voronoi 程序的细节大小。
Sets how much random angular distortion the fractures have.;设定断裂有多随机角扭曲.
Sets the softness of the fractured effect.;设置断裂效应的柔软性.
Sets how distorted the voronoi procedural is.;设定如何扭曲voronoi程序。
Sets the method for mapping the material properties onto the mesh.;设定将材料属性映射到网格的方法。
Sets how much the normal map affects the transitions between axes or projection planes.;设定正常映射图对轴或投影平面之间的过渡的影响度 。
Sets the scale of the material contents on the horizontal axis.;在水平轴上设置材料内容的尺度。
Sets the scale of the material contents on the vertical axis.;设置垂直轴上物质内容的尺度。
Sets whether the aspect ratio will be retained when adjusting the tiling settings.;设定调整平板设置时是否保留宽比 。
Sets how far the material properties are moved on the horizontal axis.;设定材料属性在水平轴上的移动距离。
Sets how far the material properties are moved on the vertical axis.;设定垂直轴上物质属性的移动范围。
Sets the angle of the material properties.;设置物质属性的角度。
Sets whether the projection area will be restricted or if areas outside of the projection will repeat.;设定投影区是否将受到限制,或者投影区以外的区域是否会重复.
Sets the X axis 3D space position for the projection in relation to the texture project's mesh(es).;设定与纹理工程的网格(s)相关的投影的X轴3D空间位置.
Sets the Y axis 3D space position for the projection in relation to the texture project's mesh(es).;设置与纹理工程的网格(s)相关的投影的 Y 轴 3D 空间位置。
Sets the Z axis 3D space position for the projection in relation to the texture project's mesh(es).;设置与纹理工程的网格(s)相关的投影的 Z 轴 3D 空间位置 。
Sets the X axis 3D space size for the projection in relation to the texture project's mesh(es).;设定相对于纹理工程的网格(s)投影的 X 轴 3D 空间大小 。
Sets the Y axis 3D space size for the projection in relation to the texture project's mesh(es).;设定与纹理工程的网格(s)相关的投影的 Y 轴 3D 空间大小 。
Sets the Z axis 3D space size for the projection in relation to the texture project's mesh(es).;设定与纹理工程的网格(s)相关的投影的 Z 轴 3D 空间大小 。
Sets the X axis 3D space rotation for the projection in relation to the texture project's mesh(es).;设定与纹理工程的网格(s)相关的投影的 X 轴 3D 空间旋转 。
Sets the Y axis 3D space rotation for the projection in relation to the texture project's mesh(es).;设定与纹理项目网格(s)相关的投影的 Y 轴 3D 空间旋转 。
Sets the Z axis 3D space rotation for the projection in relation to the texture project's mesh(es).;设定与纹理工程网格(s)相关的投影的 Z 轴 3D 空间旋转 。
If checked, material texture maps will be treated as a spritesheet with the same frame count as the brush tip.;如果选中的话, 材料纹理图将被当作一个图示表, 其框架计数与刷尖相同 。
Number of variations (columns) in the tile sheet.;瓦片工作表中的变数(列).
Number of placeable features (rows minus three) in the tile sheet.;瓦片工作表中可定位特性的数量( 数减去 3) 。
Randomly place feature tiles in empty spaces.;在空格中随机放置特征牌 。
Sets the size of the projected plane on the horizontal axis as a ratio of the texture project's mesh(es).;设定横向轴上预计平面的大小为纹理工程网格(s)的比例.
Sets the size of the projected plane on the vertical axis as a ratio of the texture project's mesh(es).;设定垂直轴上预测平面的大小为纹理工程网格(s)的比例.
Sets the maximum distance beneath the surface at which the projection will be drawn. Smoothly fades from falloff value.;设定投影投影在表面下的最大距离。 从掉落值中平滑淡出.
Sets the distance beneath the surface at which the projection will start fading.;设定投影开始消失的表面下方的距离。
Sets the maximum distance above the surface at which the projection will be drawn. No falloff is applied.;设定绘制投影的表面上的最大距离。 不应用掉落。
Sets the maximum angle away from the surface normal at which the projection will stop being drawn. No falloff is applied.;设定最大角度与投影停止绘制的表面正常距离。 不采用掉落法。
Sets the rotation along the X axis for the custom direction effect.;为自定义方向效应设定 X 轴旋转。
Sets the rotation along the Y axis for the custom direction effect.;设置自定义方向效应的Y轴旋转。
Sets the rotation along the Z axis for the custom direction effect.;为自定义方向效应设定Z轴的旋转。
Recolor the shadow element of the output gradient for this map type.;重新显示此映射类型的输出梯度的阴影元素 。
Recolor the highlight element of the output gradient for this map type.;重新显示此映射类型的输出梯度的亮度元素。
Invert the output gradient for this map type.;反转此映射类型的输出梯度 。
Inverts the x value.;倒转 x 值。
Inverts the normal value.;倒转正常值。
Inverts the albedo value.;倒置反照率值。
Inverts the specular value..;反转光谱值...
Inverts the gloss value..;颠倒光彩值..
Inverts the roughness value.;反转粗糙值.
Inverts the metalness value.;反转金属值。
Inverts the ambient occlusion value.;颠倒环境隔离值。
Inverts the cavity value.;倒置腔值.
Inverts the transparency value.;倒置透明度值。
Inverts the displacement or heightmap value.;倒置移位或高度图值。
Inverts the albedo (metalness) value.;倒置反照率( 金属) 值 。
Inverts the bump value.;颠倒颠倒值.
Inverts the emissive value.;颠倒发遣值.
Inverts the subsurface scattering value.;反转下表面散射值。
Inverts the subsurface scattering mask value.;倒置下表层的散射罩值。
Inverts the aniisotropic direction value.;反转阳极方向值。
Inverts the fuzz value.;颠倒模糊值.
Inverts the refraction mask value.;倒置折射罩值。
Sets the initial seed which can be adjusted to create a unique variation of the effect.;设置可以调整的初始种子,以创建效果的独特变异。
Sets the maximum angle the tool will paint on relative to the center point of the brush.;设定工具相对于刷子中心点的最大角度。
Sets how gradually the culling function fades to the maximum value.;设定 culling 函数如何逐渐淡化到最大值 。
Sets whether the normal map influences the culling function. When on, the surface details in the normal map will be used for culling.;设定普通地图是否影响 culling 函数。 上映时,普通地图中的表层细节将被用于 culling.
Sets the maximum amount of value difference the tool will fill in relative to value at the sample point.;设定工具相对于样本点值的最大值差。
Determines whether the fill tool will create a shape with opaque edges or if the edges will fade relative to the value tolerance.;确定填充工具是否将创建一个带有不透明边缘的形状,或者边缘相对于数值容忍度是否逐渐淡出。
